action0,action1,action2,action3
55.62993,34.9577,29.02919,29.40864
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
-0.9997379,-1.611504,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
-2.850907,-0.9993446,-10.92402,-10.8987
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
-9.29548,-7.394167,-17.24653,-13.95189
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
25.57291,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
-10.88282,0,0,0
-11.81483,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
-12.25464,-12.90073,-17.26025,-12.36956
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
3.212059,-5.930804,-13.86576,-13.79482
0,0,0,0
0,0,0,0
0,0,0,0
-5.36329,2.378819,-5.995549,3.991084
-9.761429,7.011807,4.738794,0
51.84844,44.41574,3.876644,3.92462
0,0,3.456918,0
29.19381,41.60106,3.263603,4.380833
-3.982036,0,0,0
-2.594006,-4.022632,38.521,8.365817
-6.872995,0,0,0
-2.960328,1.687937,35.59496,24.44673
-8.721017,0,0,0
-10.59856,27.35422,2.463801,1.919096
-9.743999,-0.9993446,-0.936,0
-9.9756,25.46447,11.76028,-0.4265495
-9.743999,-0.98976,-0.98976,-1.50792
-9.36,-5.921135,-1.936843,-1.933322
-10.73661,-0.9997379,-0.995904,-1.944838
-15.40795,-5.831616,-1.934268,-6.117985
-9.743999,-0.9997379,-1.843939,-0.9993446
-10.45301,-5.860746,-6.506215,-1.246324
-0.9983616,-4.980421,0,0
-8.969976,-5.204415,-6.453996,-10.94043
0,0,0,0
0,0,0,0
0,0,0,0
-0.995904,-0.9983616,-10.81044,-2.830948
0,0,0,0
-11.82158,-11.79508,-1.945672,-3.546504
0,0,0,0
-12.00193,-10.72269,-2.839543,-2.704357
0,0,0,0
-1.797476,-3.516854,-3.495988,-11.5324
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
-8.820893,-6.731053,-14.31188,-16.39467
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
-7.334976,-7.883663,-14.53111,-14.35985
0,0,0,0
0,0,0,0
0,0,0,0
-0.98976,-0.995904,-5.105855,0
0,0,0,0
16.0221,0,0,11.09595
0,0,0,0
5.641874,12.12505,0,0
0,0,0,0
0,0,0,23.19739
0,0,0,0
19.86958,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
-11.47661,13.14176,0,0
-0.84,0,0,0
-0.995904,0,0,0
-0.98976,0,0,0
0,0,0,0
0,0,-2.284271,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
-12.64977,-12.53494,-12.87879,-15.94282
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1.064725,-7.518467,-14.69243,-12.21202
0,0,0,0
0,0,0,0
0,0,0,0
-4.797983,-4.450166,-10.54565,44.82969
-1.300991,0,0,0
48.25602,-10.20035,-4.664285,41.66126
13.83502,0,0,0
37.67027,-4.505342,44.84322,27.33426
2.462489,0,0,0
-4.43873,-10.60926,-4.054689,30.15224
20.00862,0,0,0
32.81521,21.22976,-4.356934,2.623439
0,0,0,0
2.133462,0.4891453,30.17445,3.812058
-0.98976,-9.36,-4.649846,0
22.03927,-4.894086,27.66583,13.97325
-0.995904,-9.95904,-0.9983616,1.888811
-4.397137,-0.08204214,25.2826,-6.123778
-1.767331,-0.995904,-0.9983616,9.134933
-6.090056,0.4361432,23.01867,0.3341197
-0.9744,12.25613,0,0
-6.500263,-11.4782,4.689506,-0.2205182
-11.20382,0,0,0
-5.890135,0.7564722,-0.3433962,-10.14983
0,0,0,0
0,0,0,0
0,0,0,0
-0.995904,-0.936,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
-2.707489,-4.26342,-12.40978,-12.49695
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
-9.193298,-6.03314,-12.98012,-15.56184
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
-8.655513,-5.558546,-14.63097,-13.42045
0,0,0,0
0,0,0,0
0,0,0,0
-0.9744,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
24.18938,0,0,0
0,0,0,0
0,0,0,0
9.977615,0,0,0
-0.98976,6.401548,0,0
-0.9993446,0,0,0
-0.98976,4.772141,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
-12.90174,-13.00242,-20.96212,-16.163
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
-1.833418,-5.232626,-12.74623,-14.99133
0,0,0,0
0,0,0,0
0,0,0,0
39.69569,-6.152611,-11.62476,-10.84893
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
5.141145,0,0,0
-5.913638,-1.667159,7.224551,18.82776
-0.9998952,-0.1742093,8.209096,0
20.86912,-0.5504625,13.99203,-15.15423
-0.936,0,0,0
0,0,0,0
0,0,0,0
1.813734,0.43658,-7.912879,-5.72271
0,0,0,0
0,0,0,0
0,0,0,0
-0.98976,-0.9993446,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
-3.57095,-4.539885,-12.3767,-12.51385
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
-8.487358,-5.298125,-12.47342,-12.86923
